id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2024-5092,2024-06-07,000001,Vente,165000,257,,RUE DE ROGELAND,0661,01170,01173,Gex,01,,,01173000AB0049,,,100,,64,,,,,,,,2,2,Appartement,50,2,,,,,,6.05535,46.338953
2024-5092,2024-06-07,000001,Vente,165000,257,,RUE DE ROGELAND,0661,01170,01173,Gex,01,,,01173000AB0049,,,100,,64,,,,,,,,2,3,Dépendance,,0,,,,,,6.05535,46.338953
2024-5197,2024-06-14,000001,Vente,275000,143,,IMP DU LIMONADIER,1490,01170,01173,Gex,01,,,01173000AD0131,,,10,,22,,,,,,,,2,2,Appartement,61,3,,,,,,6.071839,46.336379
2024-5197,2024-06-14,000001,Vente,275000,143,,IMP DU LIMONADIER,1490,01170,01173,Gex,01,,,01173000AD0131,,,13,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.071839,46.336379
2024-5197,2024-06-14,000001,Vente,275000,143,,IMP DU LIMONADIER,1490,01170,01173,Gex,01,,,01173000AD0131,,,10,,22,,,,,,,,2,3,Dépendance,,0,,,,,,6.071839,46.336379
2024-5284,2024-06-24,000001,Vente,310000,114,,IMP DU RUISSEAU,0666,01170,01173,Gex,01,,,011730000E1018,,,129,68.16,84,,,,,,,,2,2,Appartement,68,3,,,,,,6.061266,46.347269
2024-5284,2024-06-24,000001,Vente,310000,114,,IMP DU RUISSEAU,0666,01170,01173,Gex,01,,,011730000E1018,,,35,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.061266,46.347269
2024-5284,2024-06-24,000001,Vente,310000,114,,IMP DU RUISSEAU,0666,01170,01173,Gex,01,,,011730000E1018,,,129,68.16,84,,,,,,,,2,3,Dépendance,,0,,,,,,6.061266,46.347269
2024-5284,2024-06-24,000001,Vente,310000,114,,IMP DU RUISSEAU,0666,01170,01173,Gex,01,,,011730000E1018,,,179,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.061266,46.347269
2024-5306,2024-06-20,000001,Vente,283000,348,,RUE DE PRE BAILLY,0650,01170,01173,Gex,01,,,01173000AM0063,,,30,75.81,80,,,,,,,,2,2,Appartement,71,3,,,,,,6.056466,46.324429
2024-5306,2024-06-20,000001,Vente,283000,348,,RUE DE PRE BAILLY,0650,01170,01173,Gex,01,,,01173000AM0063,,,60,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.056466,46.324429
2024-5306,2024-06-20,000001,Vente,283000,348,,RUE DE PRE BAILLY,0650,01170,01173,Gex,01,,,01173000AM0063,,,30,75.81,80,,,,,,,,2,3,Dépendance,,0,,,,,,6.056466,46.324429
2024-5323,2024-06-26,000001,Vente,240000,256,,AV DE BELLE FERME,0041,01170,01173,Gex,01,,,01173000AH0194,,,251,56.7,,,,,,,,,1,2,Appartement,55,3,,,,,,6.065041,46.332887
